key,title,genres,imdb_score
449,From Within,war,5.6
449,From Within,european,5.6
450,Jodhaa Akbar,romance,7.5
450,Jodhaa Akbar,history,7.5
450,Jodhaa Akbar,war,7.5
450,Jodhaa Akbar,action,7.5
450,Jodhaa Akbar,drama,7.5
451,And Then Came Lola,comedy,3.9
451,And Then Came Lola,drama,3.9
451,And Then Came Lola,romance,3.9
453,Om Shanti Om,comedy,6.7
453,Om Shanti Om,drama,6.7
453,Om Shanti Om,fantasy,6.7
453,Om Shanti Om,romance,6.7
453,Om Shanti Om,thriller,6.7
453,Om Shanti Om,action,6.7
454,Jab We Met,comedy,7.9
454,Jab We Met,drama,7.9
454,Jab We Met,romance,7.9
457,Bon Cop Bad Cop,crime,6.5
457,Bon Cop Bad Cop,scifi,6.5
457,Bon Cop Bad Cop,drama,6.5
457,Bon Cop Bad Cop,thriller,6.5
457,Bon Cop Bad Cop,action,6.5
457,Bon Cop Bad Cop,comedy,6.5
458,Naruto: Ninja Clash in the Land of Snow,comedy,6.6
458,Naruto: Ninja Clash in the Land of Snow,action,6.6
458,Naruto: Ninja Clash in the Land of Snow,animation,6.6
458,Naruto: Ninja Clash in the Land of Snow,fantasy,6.6
461,I Will Follow,drama,5.9
462,Alpha and Omega,animation,5.1
462,Alpha and Omega,romance,5.1
462,Alpha and Omega,comedy,5.1
462,Alpha and Omega,family,5.1
463,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,drama,6.9
463,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,comedy,6.9
463,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,animation,6.9
463,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,action,6.9
465,Waist Deep,thriller,5.8
465,Waist Deep,drama,5.8
465,Waist Deep,crime,5.8
465,Waist Deep,action,5.8
466,Naruto: Guardians of the Crescent Moon Kingdom,action,6.4
466,Naruto: Guardians of the Crescent Moon Kingdom,animation,6.4
467,First Sunday,comedy,4.5
467,First Sunday,crime,4.5
467,First Sunday,drama,4.5
470,My Suicide,comedy,7
470,My Suicide,drama,7
474,Accident,thriller,6.6
476,Naruto: Legend of the Stone of Gelel,fantasy,6.4
476,Naruto: Legend of the Stone of Gelel,comedy,6.4
476,Naruto: Legend of the Stone of Gelel,drama,6.4
476,Naruto: Legend of the Stone of Gelel,animation,6.4
476,Naruto: Legend of the Stone of Gelel,action,6.4
479,Billu,drama,6.3
479,Billu,comedy,6.3
484,Dil Chahta Hai,drama,8.1
484,Dil Chahta Hai,comedy,8.1
484,Dil Chahta Hai,romance,8.1
485,Trailer Park Boys: Countdown to Liquor Day,comedy,7.3
485,Trailer Park Boys: Countdown to Liquor Day,crime,7.3
486,Bleach the Movie: Hell Verse,fantasy,7.4
486,Bleach the Movie: Hell Verse,animation,7.4
486,Bleach the Movie: Hell Verse,action,7.4
490,Naruto Shippuden the Movie: The Lost Tower,action,6.9
490,Naruto Shippuden the Movie: The Lost Tower,animation,6.9
490,Naruto Shippuden the Movie: The Lost Tower,fantasy,6.9
491,Naruto Shippuden the Movie: Bonds,fantasy,6.8
491,Naruto Shippuden the Movie: Bonds,animation,6.8
